# depth_nm	scan	16O-	18O-	Si-	WO3-	f18 = 18O-/(16O-+18O-)	O_over_W = (16O-+18O-)/WO3-	16O-_over_WO3-
22.3338	42	104.351	0	2577.8	0	0	0	0
22.8656	43	100.306	0	2699.43	0	0	0	0
23.3973	44	95.2823	0	2637.79	0	0	0	0
23.9291	45	104.338	0	2620.04	0	0	0	0
24.4609	46	100.313	0	2476.26	1.00003	0	100.31	100.31
24.9926	47	118.434	0	2513.26	3.00027	0	39.4745	39.4745
25.5244	48	142.628	0	2311.41	2.00012	0	71.3095	71.3095
26.0561	49	258.037	0	2107.17	6.0011	0	42.9983	42.9983
26.5879	50	478.051	1.00003	1678.69	14.006	0.00208752	34.2033	34.1319
27.1197	51	921.01	2.00012	1224.57	50.0795	0.00216696	18.4309	18.391
27.6514	52	1542.66	2.00012	914.2	105.361	0.00129486	14.6607	14.6417
28.1832	53	2338.95	7.0015	688.556	255.021	0.0029845	9.19905	9.1716
28.7149	54	3430.19	13.0052	536.862	541.19	0.00377707	6.36226	6.33823
29.2467	55	4865.01	21.0135	417.449	1138.48	0.00430073	4.2917	4.27325
